Path,Category,FieldID,Field,Field_zh,Notes_zh,Participants,Items,Stability,ValueType,Units,ItemType,Strata,Sexed,Instances,Array,Coding,Notes,Link,Data
Assessment centre > Verbal interview > Early life factors,100072.0,130,Place of birth in UK - east co-ordinate,英国出生地-东向坐标,"出生地的东向网格坐标（米）。该问题于2016年10月24日从触摸屏问卷中移除。编码170定义特殊值：-1表示""位置无法映射""。",451996.0,480794.0,Complete,Integer,metre-grid,Data,Primary,Both sexes,Defined (3),No,170.0,"Place born - east co-ordinate This question was dropped from the touchscreen protocol on 24/10/2016. Coding 170 defines 1 special value: -1 represents ""Location could not be mapped""",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=130,"480,794 items of data are available, covering 451,996 participants.Some values have special meanings defined by Data-Coding 170.Defined-instances run from 0 to 2, labelled using Instancing 2.Units of measurement are metre-grid."
Assessment centre > Verbal interview > Employment,100073.0,132,Job code at visit - entered,到访时职业编码（受限字段）,该信息被视为受限数据，仅在绝对必要时提供给研究人员。请使用非受限版本字段20277。其他非受限替代字段参见下方Related Data-Fields标签。,350753.0,434898.0,Complete,Categorical single,,Data,Primary,Both sexes,Defined (4),No,2.0,This information is regarded as restricted and will be supplied to researchers only when absolutely necessary. Please use data field 20277 which is the unrestricted version of this data field. See also the Related Data-Fields tab below for other unrestricted alternatives.,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=132,"434,898 items of data are available, covering 350,753 participants, encoded using Data-Coding 2.Defined-instances run from 0 to 3, labelled using Instancing 2."
Assessment centre > Verbal interview > Medical conditions,100074.0,134,Number of self-reported cancers,自我报告的癌症数量,参与者自我报告的癌症病例数。,501317.0,610244.0,Complete,Integer,,Data,Primary,Both sexes,Defined (4),No,,Number of cancers entered,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=134,"610,244 items of data are available, covering 501,317 participants.Defined-instances run from 0 to 3, labelled using Instancing 2."
Assessment centre > Verbal interview > Medical conditions,100074.0,135,Number of self-reported non-cancer illnesses,自我报告的非癌症疾病数量,参与者自我报告的非癌症疾病数量。,501317.0,610244.0,Complete,Integer,,Data,Primary,Both sexes,Defined (4),No,,Number of non-cancer illnesses entered,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=135,"610,244 items of data are available, covering 501,317 participants.Defined-instances run from 0 to 3, labelled using Instancing 2."
Assessment centre > Verbal interview > Operations,100076.0,136,"Number of operations, self-reported",自我报告的手术次数,参与者自我报告的手术次数。,501317.0,610244.0,Complete,Integer,,Data,Primary,Both sexes,Defined (4),No,,Number of operations entered,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=136,"610,244 items of data are available, covering 501,317 participants.Defined-instances run from 0 to 3, labelled using Instancing 2."
Assessment centre > Verbal interview > Medications,100075.0,137,Number of treatments/medications taken,服用治疗药物数量,参与者当前服用的治疗药物/药物数量。,501317.0,610244.0,Complete,Integer,,Data,Primary,Both sexes,Defined (4),No,,Number of treatments (medications) entered,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=137,"610,244 items of data are available, covering 501,317 participants.Defined-instances run from 0 to 3, labelled using Instancing 2."
Assessment centre > Verbal interview > Early life factors,100072.0,146,Father's day of birth,父亲出生日,记录父亲在当月中的具体出生日（1-31日）。,255756.0,255756.0,Complete,Integer,day-of-month,Data,Primary,Both sexes,Defined (1),No,,Father's day of birth (this is the day-within-month),https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=146,"255,756 items of data are available, covering 255,756 participants.Defined-instances run from 0 to 0, labelled using Instancing 2.Units of measurement are day-of-month."
Population characteristics > Baseline characteristics,100094.0,189,Townsend deprivation index at recruitment,入组时的汤森剥夺指数,基于参与者在加入UK Biobank前最近一次全国人口普查的输出区域计算的剥夺指数。每位参与者的得分对应其邮编所在区域的剥夺程度。,501524.0,501524.0,Complete,Continuous,,Data,Derived,Both sexes,Singular,No,,Townsend deprivation index calculated immediately prior to participant joining UK Biobank. Based on the preceding national census output areas. Each participant is assigned a score corresponding to the output area in which their postcode is located.,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=189,"501,524 items of data are available, covering 501,524 participants."
Population characteristics > Ongoing characteristics,2.0,190,Reason lost to follow-up,失访原因,记录参与者失访的原因。若存在多重原因，仅列出最早发生的。注：该字段自2017年5月后未更新，预计明年补充近期数据。,1297.0,1297.0,Ongoing,Categorical single,,Data,Primary,Both sexes,Singular,No,1965.0,Indicates the reason that a person is believed to be lost to follow-up. If there are multiple reasons that a person is lost to follow-up then only the earliest of them is listed. Please note this data-field has not been updated since May 2017. We are hoping to update this data-field to include more recent information in the next year.,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=190,"1,297 items of data are available, covering 1,297 participants, encoded using Data-Coding 1965."
Population characteristics > Ongoing characteristics,2.0,191,Date lost to follow-up,失访日期,记录参与者开始失访的日期。若存在多重原因，仅列出最早发生的日期。注：该字段自2017年5月后未更新，预计明年补充近期数据。,1297.0,1297.0,Ongoing,Date,,Data,Primary,Both sexes,Singular,No,,Indicates the date from which a person is believed to be lost to follow-up. If there are multiple reasons that a person is lost to follow-up then only the date of the earliest of them is listed. Please note this data-field has not been updated since May 2017. We are hoping to update this data-field to include more recent information in the next year.,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=191,"1,297 items of data are available, covering 1,297 participants."
Assessment centre > Recruitment > Consent,100023.0,200,Date of consenting to join UK Biobank,同意加入UK Biobank的日期,参与者在UK Biobank评估中心签署同意的日期。该日期在参与者同意时自动获取。,502148.0,502148.0,Complete,Date,,Data,Primary,Both sexes,Singular,No,,Date that participant consented at UK Biobank assessment centre. Automatically acquired at participant consent.,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=200,"502,148 items of data are available, covering 502,148 participants."
Assessment centre > Recruitment > Consent,100023.0,393,Program (tactus) version ID (compiler timestamp),触摸屏系统版本ID（编译器时间戳）,此字段标识参与者访问评估中心时使用的触摸屏系统版本。初始试点诊所的数据中没有时间戳。,502145.0,502145.0,Complete,Categorical single,,Data,Auxiliary,Both sexes,Singular,No,1200.0,This field identifies the version of the touchscreen system in use at the assessment centre when a participant visit took place. The timestamp is not present in data from the initial pilot clinic.,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=393,"502,145 items of data are available, covering 502,145 participants, encoded using Data-Coding 1200."
Assessment centre > Cognitive function > Pairs matching,100030.0,396,Number of columns displayed in round,本轮显示的列数,,498709.0,1289304.0,Complete,Integer,,Data,Primary,Both sexes,Defined (4),Yes (3),,,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=396,"1,289,304 items of data are available, covering 498,709 participants.Defined-instances run from 0 to 3, labelled using Instancing 2.Array indices run from 1 to 3."
Assessment centre > Cognitive function > Pairs matching,100030.0,397,Number of rows displayed in round,本轮显示的行数,,498709.0,1228464.0,Complete,Integer,,Data,Primary,Both sexes,Defined (4),Yes (2),,,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=397,"1,228,464 items of data are available, covering 498,709 participants.Defined-instances run from 0 to 3, labelled using Instancing 2.Array indices run from 1 to 2."
Assessment centre > Cognitive function > Pairs matching,100030.0,398,Number of correct matches in round,本轮正确匹配数,这是本轮的正确匹配数。对于2x3游戏应为3，对于3x4游戏应为6，除非参与者中途放弃。,498709.0,1289304.0,Complete,Integer,,Data,Primary,Both sexes,Defined (4),Yes (3),,"This is the number of correct matches in the round. It should always be 3 for a 2x3 game and 6 for a 3x4 game, unless the participant abandoned before finishing.",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=398,"1,289,304 items of data are available, covering 498,709 participants.Defined-instances run from 0 to 3, labelled using Instancing 2.Array indices run from 1 to 3."
Assessment centre > Cognitive function > Pairs matching,100030.0,399,Number of incorrect matches in round,本轮错误匹配数,值为0表示参与者没有犯错。,498709.0,1289304.0,Complete,Integer,,Data,Primary,Both sexes,Defined (4),Yes (3),,A value of 0 indicates the participant made no mistakes.,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=399,"1,289,304 items of data are available, covering 498,709 participants.Defined-instances run from 0 to 3, labelled using Instancing 2.Array indices run from 1 to 3."
Assessment centre > Cognitive function > Pairs matching,100030.0,400,Time to complete round,完成本轮的时间,编码402定义了一个特殊值：0表示“测试未完成”。,498709.0,1289304.0,Complete,Integer,deciseconds,Data,Primary,Both sexes,Defined (4),Yes (3),402.0,"Coding 402 defines 1 special value: 0 represents ""Test not completed""",https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=400,"1,289,304 items of data are available, covering 498,709 participants.Some values have special meanings defined by Data-Coding 402.Defined-instances run from 0 to 3, labelled using Instancing 2.Array indices run from 1 to 3.Units of measurement are deciseconds."
Assessment centre > Cognitive function > Reaction time,100032.0,401,Index for card A in round,本轮卡片A的索引,,496585.0,7344060.0,Complete,Categorical single,,Data,Primary,Both sexes,Defined (4),Yes (12),92.0,,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=401,"7,344,060 items of data are available, covering 496,585 participants, encoded using Data-Coding 92.Defined-instances run from 0 to 3, labelled using Instancing 2.Array indices run from 0 to 11."
Assessment centre > Cognitive function > Reaction time,100032.0,402,Index for card B in round,本轮卡片B的索引,,496585.0,7344060.0,Complete,Categorical single,,Data,Primary,Both sexes,Defined (4),Yes (12),92.0,,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=402,"7,344,060 items of data are available, covering 496,585 participants, encoded using Data-Coding 92.Defined-instances run from 0 to 3, labelled using Instancing 2.Array indices run from 0 to 11."
Assessment centre > Cognitive function > Reaction time,100032.0,403,Number of times snap-button pressed,按下匹配按钮的次数,这表示每轮中按下匹配按钮（即用户指示卡片匹配）的次数。,496585.0,7344060.0,Complete,Integer,,Data,Primary,Both sexes,Defined (4),Yes (12),,This indicates the number of times the snap-button was pressed (i.e. the user indicated the cards matched) in each round.,https://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=403,"7,344,060 items of data are available, covering 496,585 participants.Defined-instances run from 0 to 3, labelled using Instancing 2.Array indices run from 0 to 11."
